year,council,income,Roading,Transportation,Water supply,Wastewater,Solid waste/refuse,Environmental protection,Culture,Recreation and sport,Property,Emergency management,Planning and regulation,Community development,Economic development,Governance,Council support services,Other activities,Total
2009,Mackenzie District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,506
2009,Mackenzie District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,480
2009,Mackenzie District Council,Sales and other operating income,35,0,108,0,309,0,0,12,0,0,13,0,0,17,409,15,918
2009,Mackenzie District Council,Total operating income,1198,0,776,533,848,0,0,1241,450,206,754,0,0,43,1421,16,7486
2009,Mackenzie District Council,Employee costs,95,0,105,93,247,0,0,131,37,19,282,0,0,657,64,0,1730
2009,Mackenzie District Council,Depreciation and amortisation,1576,1,291,315,35,0,12,274,49,31,0,0,5,55,30,0,2674
2009,Mackenzie District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,90
2009,Mackenzie District Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Mackenzie District Council,Purchases and other operating expenditure,1199,56,400,157,270,0,101,798,42,11,294,0,7,138,1564,128,5165
2009,Mackenzie District Council,Total operating expenditure,2870,57,796,565,552,0,113,1203,128,61,576,0,12,850,1748,128,9659
2009,Mackenzie District Council,Operating surplus/deficit,-1672,-57,-20,-32,296,0,-113,38,322,145,178,0,-12,-807,-327,-112,-2173
2009,Manawatu District Council,Rates,6862,0,2574,2913,919,0,933,2475,501,258,854,2038,0,1502,566,0,22395
2009,Manawatu District Council,Regulatory income and petrol tax,185,0,0,0,0,0,0,0,0,0,967,0,0,0,262,0,1414
2009,Manawatu District Council,"Current grants, subsidies, and donations income",3231,0,0,0,0,0,41,1,0,0,2,58,0,0,0,0,3333
2009,Manawatu District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,0,891
2009,Manawatu District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
2009,Manawatu District Council,Sales and other operating income,8,0,273,600,286,0,66,384,115,0,68,0,76,0,56,1518,3450
2009,Manawatu District Council,Total operating income,10286,0,2847,3513,1205,0,1040,2860,616,258,1891,2096,76,1502,1784,1518,31492
2009,Manawatu District Council,Employee costs,84,0,169,299,30,0,338,606,0,0,200,278,0,530,2339,411,5284
2009,Manawatu District Council,Depreciation and amortisation,5784,0,1032,992,2,0,226,371,464,3,3,5,0,0,275,0,9157
2009,Manawatu District Council,"Current grants, subsidies, and donations expenditure",3,0,0,0,0,0,39,501,0,0,0,351,0,0,193,0,1087
2009,Manawatu District Council,Interest expenditure,40,0,319,385,43,0,0,103,0,0,0,0,19,0,46,0,955
2009,Manawatu District Council,Purchases and other operating expenditure,4728,0,1165,1631,1146,0,170,1832,562,210,1240,118,804,170,1584,60,15420
2009,Manawatu District Council,Total operating expenditure,10639,0,2685,3307,1221,0,773,3413,1026,213,1443,752,823,700,4437,471,31903
2009,Manawatu District Council,Operating surplus/deficit,-353,0,162,206,-16,0,267,-553,-410,45,448,1344,-747,802,-2653,1047,-411
2009,Manawatu-Wanganui Regional Council,Rates,0,1553,0,0,0,16673,0,2595,0,820,1210,1258,0,1891,2182,0,28182
2009,Manawatu-Wanganui Regional Council,Regulatory income and petrol tax,0,0,0,0,0,998,0,0,0,0,2127,0,0,0,514,0,3639
2009,Manawatu-Wanganui Regional Council,"Current grants, subsidies, and donations income",0,3380,0,0,0,1918,0,25,0,257,0,0,0,0,0,0,5580
2009,Manawatu-Wanganui Regional Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,341
2009,Manawatu-Wanganui Regional Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1785,0,1785
2009,Manawatu-Wanganui Regional Council,Sales and other operating income,0,388,0,0,0,1055,0,0,0,264,215,4,0,2,68,0,1996
2009,Manawatu-Wanganui Regional Council,Total operating income,0,5321,0,0,0,20644,0,2620,0,1341,3552,1262,0,1893,4890,0,41523
2009,Manawatu-Wanganui Regional Council,Employee costs,0,748,0,0,0,6935,0,1306,0,664,2128,692,0,536,637,0,13646
2009,Manawatu-Wanganui Regional Council,Depreciation and amortisation,0,0,0,0,0,1145,0,12,0,127,0,4,0,0,1824,0,3112
2009,Manawatu-Wanganui Regional Council,"Current grants, subsidies, and donations expenditure",0,4052,0,0,0,1443,0,641,0,8,0,10,0,0,42,0,6196
2009,Manawatu-Wanganui Regional Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,153
2009,Manawatu-Wanganui Regional Council,Purchases and other operating expenditure,0,494,0,0,0,7657,0,728,0,299,1383,549,0,462,4374,0,15946
2009,Manawatu-Wanganui Regional Council,Total operating expenditure,0,5294,0,0,0,17180,0,2687,0,1098,3511,1255,0,998,7030,0,39053
2009,Manawatu-Wanganui Regional Council,Operating surplus/deficit,0,27,0,0,0,3464,0,-67,0,243,41,7,0,895,-2140,0,2470
2009,Manukau City Council,Rates,0,0,0,0,15871,0,0,0,0,0,0,0,988,20,165402,0,182281
2009,Manukau City Council,Regulatory income and petrol tax,1413,6221,0,59,0,0,263,0,45,0,15271,0,-2,0,3314,0,26584
2009,Manukau City Council,"Current grants, subsidies, and donations income",8091,292,0,0,0,0,168,1,18,5,8,298,0,16,299,0,9196
2009,Manukau City Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18274,0,18274
2009,Manukau City Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,0,2029
2009,Manukau City Council,Sales and other operating income,917,1910,0,197,216,0,1033,1772,10496,0,300,965,-1,-8,15123,24,32944
2009,Manukau City Council,Total operating income,10421,8423,0,256,16087,0,1464,1773,10559,5,15579,1263,985,28,204441,24,271308
2009,Manukau City Council,Employee costs,1913,1619,0,643,316,0,9398,2030,1834,271,9229,4253,2350,3862,34005,-1,71722
2009,Manukau City Council,Depreciation and amortisation,34119,24,0,10550,75,0,4232,6319,4714,5,197,1014,131,6,10230,-3,71613
2009,Manukau City Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,6,0,46,1140,0,0,263,766,1462,33,12,0,3728
2009,Manukau City Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24552,0,24552
2009,Manukau City Council,Purchases and other operating expenditure,20269,3252,0,5451,19717,224,6676,33332,2923,357,14533,4572,4551,1293,28425,338,145913
2009,Manukau City Council,Total operating expenditure,56301,4895,0,16644,20114,224,20352,42821,9471,633,24222,10605,8494,5194,97224,334,317528
2009,Manukau City Council,Operating surplus/deficit,-45880,3528,0,-16388,-4027,-224,-18888,-41048,1088,-628,-8643,-9342,-7509,-5166,107217,-310,-46220
2009,Marlborough District Council,Rates,8941,328,6085,7454,2168,6834,2000,4108,121,672,4750,483,694,2568,-3189,10,44027
2009,Marlborough District Council,Regulatory income and petrol tax,403,543,0,0,3,16,46,0,0,0,4424,0,0,0,289,0,5724
2009,Marlborough District Council,"Current grants, subsidies, and donations income",7312,174,0,0,2,85,4,5,128,33,0,327,0,0,1,0,8071
2009,Marlborough District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,0,1852
2009,Marlborough District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,0,1038
2009,Marlborough District Council,Sales and other operating income,94,1180,1669,1070,1092,810,105,45,4565,88,202,0,0,1,941,1236,13098
2009,Marlborough District Council,Total operating income,16750,2225,7754,8524,3265,7745,2155,4158,4814,793,9376,810,694,2569,932,1246,73810
2009,Marlborough District Council,Employee costs,0,0,920,1486,33,1880,660,669,0,218,4485,163,0,490,4682,2,15688
2009,Marlborough District Council,Depreciation and amortisation,5648,168,2026,2636,78,190,254,261,417,21,72,29,0,6,1110,0,12916
2009,Marlborough District Council,"Current grants, subsidies, and donations expenditure",3,32,38,0,1,0,434,332,57,8,3,368,587,0,645,0,2508
2009,Marlborough District Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,45
2009,Marlborough District Council,Purchases and other operating expenditure,10100,1452,2322,3079,2784,5180,548,2888,1121,231,3125,154,156,511,4809,19,38479
2009,Marlborough District Council,Total operating expenditure,15751,1652,5306,7201,2896,7250,1896,4150,1595,478,7685,714,743,1007,11291,21,69636
2009,Marlborough District Council,Operating surplus/deficit,999,573,2448,1323,369,495,259,8,3219,315,1691,96,-49,1562,-10359,1225,4174
2009,Masterton District Council,Rates,4716,54,2041,2111,927,0,1617,2451,715,310,993,337,445,369,129,0,17215
2009,Masterton District Council,Regulatory income and petrol tax,171,51,0,0,0,0,0,0,0,79,1063,0,0,0,173,0,1537
2009,Masterton District Council,"Current grants, subsidies, and donations income",1801,0,0,0,0,0,180,39,6,5,0,61,0,0,0,0,2092
2009,Masterton District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,0,765
2009,Masterton District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
2009,Masterton District Council,Sales and other operating income,65,323,210,340,1725,0,136,103,560,0,0,0,15,0,150,0,3627
2009,Masterton District Council,Total operating income,6753,428,2251,2451,2652,0,1933,2593,1281,394,2056,398,460,369,1226,0,25245
2009,Masterton District Council,Employee costs,23,0,240,27,0,0,721,151,139,59,1168,0,0,287,1837,0,4652
2009,Masterton District Council,Depreciation and amortisation,4649,51,965,1508,36,0,222,608,421,10,73,0,42,2,120,0,8707
2009,Masterton District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,270,0,0,0,0,283,249,0,139,0,941
2009,Masterton District Council,Interest expenditure,37,6,100,715,26,0,0,102,33,0,0,0,5,0,0,0,1024
2009,Masterton District Council,Purchases and other operating expenditure,3586,171,1034,381,2319,0,591,1868,617,236,1075,26,86,190,1096,0,13276
2009,Masterton District Council,Total operating expenditure,8295,228,2339,2631,2381,0,1804,2729,1210,305,2316,309,382,479,3192,0,28600
2009,Masterton District Council,Operating surplus/deficit,-1542,200,-88,-180,271,0,129,-136,71,89,-260,89,78,-110,-1966,0,-3355
2009,Matamata-Piako District Council,Rates,4403,0,2403,4070,1935,0,1079,3425,1900,183,911,1747,0,1610,0,0,23666
2009,Matamata-Piako District Council,Regulatory income and petrol tax,229,0,0,0,0,0,0,0,0,0,1135,0,0,0,148,0,1512
2009,Matamata-Piako District Council,"Current grants, subsidies, and donations income",5379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5379
2009,Matamata-Piako District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932,0,932
2009,Matamata-Piako District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,572
2009,Matamata-Piako District Council,Sales and other operating income,5,0,1382,761,869,0,130,1088,7087,13,0,50,0,0,100,0,11485
2009,Matamata-Piako District Council,Total operating income,10016,0,3785,4831,2804,0,1209,4513,8987,196,2046,1797,0,1610,1752,0,43546
2009,Matamata-Piako District Council,Employee costs,0,0,0,0,0,0,556,123,0,0,991,288,0,0,5300,0,7258
2009,Matamata-Piako District Council,Depreciation and amortisation,5244,0,1173,1631,13,0,243,430,921,0,2,1,0,7,800,0,10465
2009,Matamata-Piako District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,168,0,0,36,0,204
2009,Matamata-Piako District Council,Interest expenditure,200,0,194,909,40,0,4,90,132,0,0,0,0,39,0,0,1608
2009,Matamata-Piako District Council,Purchases and other operating expenditure,5604,0,1831,2361,2445,0,223,3679,1857,176,340,209,0,515,229,0,19469
2009,Matamata-Piako District Council,Total operating expenditure,11048,0,3198,4901,2498,0,1026,4322,2910,176,1333,666,0,561,6365,0,39004
2009,Matamata-Piako District Council,Operating surplus/deficit,-1032,0,587,-70,306,0,183,191,6077,20,713,1131,0,1049,-4613,0,4542
2009,Napier City Council,Rates,9204,0,3632,9487,1846,0,3829,6134,555,310,1960,1278,1513,1921,246,-190,41725
2009,Napier City Council,Regulatory income and petrol tax,384,702,0,0,0,0,0,0,0,0,1658,0,0,0,0,714,3458
2009,Napier City Council,"Current grants, subsidies, and donations income",814,0,0,0,0,0,272,25,13,12,18,297,92,0,7,0,1550
2009,Napier City Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3034,0,3034
2009,Napier City Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,231
2009,Napier City Council,Sales and other operating income,60,834,502,499,2585,0,1879,1970,9603,0,125,133,5491,1,833,0,24515
2009,Napier City Council,Total operating income,10462,1536,4134,9986,4431,0,5980,8129,10171,322,3761,1708,7096,1922,4351,524,74513
2009,Napier City Council,Employee costs,315,270,328,110,99,0,2303,1090,913,71,1890,380,2725,538,12595,0,23627
2009,Napier City Council,Depreciation and amortisation,6112,100,1344,4470,530,0,353,1426,1451,35,7,1,678,2,1068,0,17577
2009,Napier City Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,417,0,0,0,7,416,454,0,386,0,1680
2009,Napier City Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,0,747
2009,Napier City Council,Purchases and other operating expenditure,4179,323,731,1078,3008,0,1380,2078,5631,118,1072,365,3093,211,3954,0,27221
2009,Napier City Council,Total operating expenditure,10606,693,2403,5658,3637,0,4453,4594,7995,224,2976,1162,6950,751,18750,0,70852
2009,Napier City Council,Operating surplus/deficit,-144,843,1731,4328,794,0,1527,3535,2176,98,785,546,146,1171,-14399,524,3661
2009,Nelson City Council,Rates,6744,393,10505,10466,0,311,5850,7778,307,322,3606,631,1029,590,-3324,531,45739
2009,Nelson City Council,Regulatory income and petrol tax,331,767,0,0,0,0,0,0,0,0,2430,0,0,0,192,0,3720
2009,Nelson City Council,"Current grants, subsidies, and donations income",2104,0,0,0,0,365,119,5,4,248,61,0,0,0,4,0,2910
2009,Nelson City Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,371
2009,Nelson City Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2817,0,2817
2009,Nelson City Council,Sales and other operating income,341,1331,99,2963,2323,72,529,1812,1374,390,135,0,0,0,2920,2,14291
2009,Nelson City Council,Total operating income,9520,2491,10604,13429,2323,748,6498,9595,1685,960,6232,631,1029,590,2980,533,69848
2009,Nelson City Council,Employee costs,918,557,1103,1306,280,152,1604,1634,445,676,1553,224,259,146,1103,124,12084
2009,Nelson City Council,Depreciation and amortisation,4199,154,3807,4813,303,0,511,588,331,5,33,7,0,0,450,17,15218
2009,Nelson City Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,228,0,0,11,50,0,0,128,0,417
2009,Nelson City Council,Interest expenditure,215,0,0,294,0,0,0,0,215,0,0,0,0,0,2524,0,3248
2009,Nelson City Council,Purchases and other operating expenditure,2741,1660,3291,3899,834,454,4790,4881,1327,2018,4635,669,771,435,2205,369,34979
2009,Nelson City Council,Total operating expenditure,8073,2371,8201,10312,1417,606,6905,7331,2318,2699,6232,950,1030,581,6410,510,65946
2009,Nelson City Council,Operating surplus/deficit,1447,120,2403,3117,906,142,-407,2264,-633,-1739,0,-319,-1,9,-3430,23,3902
2009,New Plymouth District Council,Rates,0,0,6649,10197,1173,0,0,0,0,0,0,0,0,0,34812,0,52831
2009,New Plymouth District Council,Regulatory income and petrol tax,482,1604,0,0,0,0,0,0,0,0,1787,0,0,0,89,0,3962
2009,New Plymouth District Council,"Current grants, subsidies, and donations income",3926,0,0,0,31,0,1361,217,7,9,18,283,0,0,0,0,5852
2009,New Plymouth District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3544,0,3544
2009,New Plymouth District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900,0,4900
2009,New Plymouth District Council,Sales and other operating income,661,1945,3596,1414,3374,0,1141,3671,3345,32,2106,19,0,16,1806,117,23243
2009,New Plymouth District Council,Total operating income,5069,3549,10245,11611,4578,0,2502,3888,3352,41,3911,302,0,16,45151,117,94332
2009,New Plymouth District Council,Employee costs,570,368,1520,1799,0,0,5085,5598,965,0,3081,367,0,1088,8359,0,28800
2009,New Plymouth District Council,Depreciation and amortisation,9104,85,2975,4736,221,0,1323,3419,2713,0,2,2,0,1,1619,2,26202
2009,New Plymouth District Council,"Current grants, subsidies, and donations expenditure",11,0,1,0,0,0,10,1,0,0,0,2104,0,0,0,0,2127
2009,New Plymouth District Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6428,0,6428
2009,New Plymouth District Council,Purchases and other operating expenditure,7748,555,2685,4444,2603,0,3610,5619,3694,255,1060,1590,2668,634,5992,2288,45445
2009,New Plymouth District Council,Total operating expenditure,17433,1008,7181,10979,2824,0,10028,14637,7372,255,4143,4063,2668,1723,22398,2290,109002
2009,New Plymouth District Council,Operating surplus/deficit,-12364,2541,3064,632,1754,0,-7526,-10749,-4020,-214,-232,-3761,-2668,-1707,22753,-2173,-14670
2009,North Shore City Council,Rates,28452,7984,20527,47185,2658,3211,17601,30772,153,822,17049,9081,5669,5986,1800,0,198950
2009,North Shore City Council,Regulatory income and petrol tax,1509,3049,0,0,0,45,252,0,0,0,11965,0,0,0,0,0,16820
2009,North Shore City Council,"Current grants, subsidies, and donations income",7789,5,0,298,0,0,0,123,4,0,100,310,0,0,0,0,8629
2009,North Shore City Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,80
2009,North Shore City Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,330
2009,North Shore City Council,Sales and other operating income,4800,1243,491,1112,4794,1894,584,4473,4181,0,0,26,74,73,0,1344,25089
2009,North Shore City Council,Total operating income,42550,12281,21018,48595,7452,5150,18437,35368,4338,822,29114,9417,5743,6059,2210,1344,249898
2009,North Shore City Council,Employee costs,6387,6270,689,5738,488,2392,5015,5677,1329,227,13185,536,798,826,11490,0,61047
2009,North Shore City Council,Depreciation and amortisation,16132,136,4212,19395,0,6,1508,5543,4077,79,0,6,4,1,540,0,51639
2009,North Shore City Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,4,21,4069,671,0,0,158,0,1835,0,19995,0,26753
2009,North Shore City Council,Interest expenditure,0,5816,134,9075,0,44,80,1785,38,0,0,0,0,0,1422,0,18394
2009,North Shore City Council,Purchases and other operating expenditure,20637,292,14298,15149,6095,782,6958,15121,9044,328,25214,4453,2393,220,1939,0,122923
2009,North Shore City Council,Total operating expenditure,43156,12514,19333,49357,6587,3245,17630,28797,14488,634,38557,4995,5030,1047,35386,0,280756
2009,North Shore City Council,Operating surplus/deficit,-606,-233,1685,-762,865,1905,807,6571,-10150,188,-9443,4422,713,5012,-33176,1344,-30858
2009,Northland Regional Council,Rates,0,198,0,0,0,4358,862,862,0,146,2621,1112,40,0,0,529,10728
2009,Northland Regional Council,Regulatory income and petrol tax,0,50,0,0,0,35,0,0,0,0,2828,0,0,0,278,0,3191
2009,Northland Regional Council,"Current grants, subsidies, and donations income",0,1513,0,0,0,380,0,0,0,12,0,0,0,0,0,0,1905
2009,Northland Regional Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2913,0,2913
2009,Northland Regional Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4446,0,4446
2009,Northland Regional Council,Sales and other operating income,0,605,0,0,0,314,0,0,2898,0,0,0,0,0,0,628,4445
2009,Northland Regional Council,Total operating income,0,2366,0,0,0,5087,862,862,2898,158,5449,1112,40,0,7637,1157,27628
2009,Northland Regional Council,Employee costs,0,256,0,0,189,1665,0,0,14,0,3880,1340,0,0,1292,0,8636
2009,Northland Regional Council,Depreciation and amortisation,0,0,0,0,0,71,0,0,5,0,266,5,0,0,491,0,838
2009,Northland Regional Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,189,0,0,0,0,0,0,80,0,0,0,269
2009,Northland Regional Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,30,0,5,0,35
2009,Northland Regional Council,Purchases and other operating expenditure,0,2288,0,0,195,4433,0,0,352,0,2605,1950,3798,0,189,0,15810
2009,Northland Regional Council,Total operating expenditure,0,2544,0,0,384,6358,0,0,371,0,6751,3295,3908,0,1977,0,25588
2009,Northland Regional Council,Operating surplus/deficit,0,-178,0,0,-384,-1271,862,862,2527,158,-1302,-2183,-3868,0,5660,1157,2040
2009,Opotiki District Council,Rates,1503,0,732,477,877,0,160,770,200,120,624,345,406,779,69,0,7062
2009,Opotiki District Council,Regulatory income and petrol tax,72,0,0,0,0,0,0,0,0,0,298,0,0,0,43,0,413
2009,Opotiki District Council,"Current grants, subsidies, and donations income",656,0,0,0,0,0,0,0,0,2,0,3,233,0,0,0,894
2009,Opotiki District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,246
2009,Opotiki District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Opotiki District Council,Sales and other operating income,33,0,157,1,193,0,55,94,85,10,2,0,22,2,62,7,723
2009,Opotiki District Council,Total operating income,2264,0,889,478,1070,0,215,864,285,132,924,348,661,781,420,7,9338
2009,Opotiki District Council,Employee costs,0,0,0,0,339,0,106,49,0,10,409,0,173,187,1055,0,2328
2009,Opotiki District Council,Depreciation and amortisation,1116,0,290,161,22,0,35,73,49,3,0,0,0,0,116,0,1865
2009,Opotiki District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,12,0,9,14,113,3,0,69,0,220
2009,Opotiki District Council,Interest expenditure,39,0,149,29,8,0,0,0,0,0,0,0,0,0,0,0,225
2009,Opotiki District Council,Purchases and other operating expenditure,1417,0,272,251,540,0,26,672,160,72,184,21,403,98,713,0,4829
2009,Opotiki District Council,Total operating expenditure,2572,0,711,441,909,0,167,806,209,94,607,134,579,285,1953,0,9467
2009,Opotiki District Council,Operating surplus/deficit,-308,0,178,37,161,0,48,58,76,38,317,214,82,496,-1533,7,-129
2009,Otago Regional Council,Rates,0,4151,0,0,0,3832,0,0,0,178,1565,0,0,79,2251,0,12056
2009,Otago Regional Council,Regulatory income and petrol tax,0,0,0,0,0,0,0,0,0,0,1882,0,0,0,0,0,1882
2009,Otago Regional Council,"Current grants, subsidies, and donations income",0,4225,0,0,0,1912,0,0,0,15,0,0,0,0,0,154,6306
2009,Otago Regional Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634,0,1634
2009,Otago Regional Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6900,0,6900
2009,Otago Regional Council,Sales and other operating income,0,59,0,0,0,2613,0,0,0,5,56,0,0,86,753,258,3830
2009,Otago Regional Council,Total operating income,0,8435,0,0,0,8357,0,0,0,198,3503,0,0,165,11538,412,32608
2009,Otago Regional Council,Employee costs,0,525,0,0,0,3791,0,0,0,148,2585,0,0,483,0,1653,9185
2009,Otago Regional Council,Depreciation and amortisation,0,1,0,0,0,667,0,0,106,0,0,0,0,0,300,22,1096
2009,Otago Regional Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,0,553
2009,Otago Regional Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Otago Regional Council,Purchases and other operating expenditure,0,7295,0,0,0,7105,0,0,0,35,509,0,0,642,3897,2044,21527
2009,Otago Regional Council,Total operating expenditure,0,7821,0,0,0,11563,0,0,106,183,3094,0,0,1125,4750,3719,32361
2009,Otago Regional Council,Operating surplus/deficit,0,614,0,0,0,-3206,0,0,-106,15,409,0,0,-960,6788,-3307,247
2009,Otorohanga District Council,Rates,4101,0,447,533,321,37,246,716,197,78,387,258,150,793,420,0,8684
2009,Otorohanga District Council,Regulatory income and petrol tax,89,0,0,0,0,0,0,0,0,0,722,0,0,0,79,0,890
2009,Otorohanga District Council,"Current grants, subsidies, and donations income",3145,0,0,0,22,57,0,0,0,0,0,21,0,0,0,0,3245
2009,Otorohanga District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,98
2009,Otorohanga District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
2009,Otorohanga District Council,Sales and other operating income,0,0,598,80,0,38,27,20,111,0,0,12,0,0,21,0,907
2009,Otorohanga District Council,Total operating income,7335,0,1045,613,343,132,273,736,308,78,1109,291,150,793,622,0,13828
2009,Otorohanga District Council,Employee costs,0,0,0,0,36,0,123,0,0,0,313,0,0,227,2074,0,2773
2009,Otorohanga District Council,Depreciation and amortisation,2467,0,290,210,2,15,66,70,108,8,0,0,0,0,166,0,3402
2009,Otorohanga District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,187,145,0,0,0,332
2009,Otorohanga District Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,0,885
2009,Otorohanga District Council,Purchases and other operating expenditure,3272,0,625,195,216,87,68,562,306,47,403,88,0,87,747,0,6703
2009,Otorohanga District Council,Total operating expenditure,5739,0,915,405,254,102,257,632,414,55,716,275,145,314,3872,0,14095
2009,Otorohanga District Council,Operating surplus/deficit,1596,0,130,208,89,30,16,104,-106,23,393,16,5,479,-3250,0,-267
2009,Palmerston North City Council,Rates,11923,-1513,5479,8805,3124,0,8893,10617,2728,453,3468,722,2640,3009,-710,0,59638
2009,Palmerston North City Council,Regulatory income and petrol tax,542,1594,0,0,0,0,0,0,0,0,3692,0,0,0,436,0,6264
2009,Palmerston North City Council,"Current grants, subsidies, and donations income",2012,0,0,0,0,0,51,0,36,15,0,74,62,0,0,0,2250
2009,Palmerston North City Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2754,0,2754
2009,Palmerston North City Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,422
2009,Palmerston North City Council,Sales and other operating income,317,2277,1757,1308,1634,0,555,499,3975,14,33,33,802,13,5265,52,18534
2009,Palmerston North City Council,Total operating income,14794,2358,7236,10113,4758,0,9499,11116,6739,482,7193,829,3504,3022,8167,52,89862
2009,Palmerston North City Council,Employee costs,1486,319,0,654,0,0,3271,622,0,229,3685,323,342,639,19669,0,31239
2009,Palmerston North City Council,Depreciation and amortisation,7045,222,1820,2645,115,0,1896,3898,2920,2,12,5,209,3,2565,0,23357
2009,Palmerston North City Council,"Current grants, subsidies, and donations expenditure",138,0,0,0,0,0,3134,1038,110,0,0,817,1864,2,518,0,7621
2009,Palmerston North City Council,Interest expenditure,0,0,0,0,258,0,0,0,120,0,0,0,0,0,9716,0,10094
2009,Palmerston North City Council,Purchases and other operating expenditure,4868,841,475,3083,2227,0,1554,1507,2899,81,2286,134,854,468,5367,393,27037
2009,Palmerston North City Council,Total operating expenditure,13537,1382,2295,6382,2600,0,9855,7065,6049,312,5983,1279,3269,1112,37835,393,99348
2009,Palmerston North City Council,Operating surplus/deficit,1257,976,4941,3731,2158,0,-356,4051,690,170,1210,-450,235,1910,-29668,-341,-9486
2009,Papakura District Council,Rates,5571,0,0,4067,2008,0,1760,5572,525,181,3267,1027,898,1772,0,0,26648
2009,Papakura District Council,Regulatory income and petrol tax,198,453,0,0,0,0,0,0,0,0,3250,0,0,0,0,0,3901
2009,Papakura District Council,"Current grants, subsidies, and donations income",1217,0,0,233,0,0,0,0,0,6,0,78,49,0,0,0,1583
2009,Papakura District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,155
2009,Papakura District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Papakura District Council,Sales and other operating income,241,0,260,0,822,0,199,92,554,0,0,58,83,2,0,0,2311
